County,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
153,"Polk County, Iowa",438307.0,34.8,59018.0,30442.0,50853.0,11.602141877724973
107,"Keokuk County, Iowa",10428.0,44.0,42167.0,22243.0,1348.0,12.926735711545838
171,"Tama County, Iowa",17661.0,42.2,51670.0,25311.0,1969.0,11.148859068002944
225,"Union County, Kentucky",15138.0,37.0,39125.0,19464.0,3820.0,25.234509182190514
035,"Calloway County, Kentucky",37383.0,33.8,39677.0,21490.0,6828.0,18.264986758687105
011,"Banks County, Georgia",18333.0,38.8,41141.0,20231.0,3047.0,16.620302187312497
031,"Bulloch County, Georgia",71190.0,25.9,35840.0,18587.0,20708.0,29.08835510605422
059,"Clarke County, Georgia",118864.0,26.2,33060.0,19295.0,39692.0,33.39278503163279
061,"Clay County, Georgia",3133.0,40.7,21192.0,12982.0,1368.0,43.66421959782956
101,"Echols County, Georgia",4053.0,30.5,31375.0,15861.0,1270.0,31.334813718233406
127,"Glynn County, Georgia",80280.0,40.1,46407.0,26724.0,15148.0,18.868958644743397
089,"DeKalb County, Georgia",700308.0,34.6,50856.0,28810.0,130160.0,18.586107826841904
143,"Haralson County, Georgia",28594.0,39.8,39993.0,19789.0,6403.0,22.39280968035252
157,"Jackson County, Georgia",60577.0,37.5,53179.0,23247.0,9540.0,15.748551430410883
163,"Jefferson County, Georgia",16696.0,38.0,26968.0,14757.0,5073.0,30.384523239099185
169,"Jones County, Georgia",28650.0,38.5,51497.0,24485.0,4699.0,16.401396160558463
181,"Lincoln County, Georgia",7894.0,45.7,35625.0,20641.0,2071.0,26.235115277425894
213,"Murray County, Georgia",39504.0,36.9,34888.0,16449.0,8755.0,22.162312677197246
215,"Muscogee County, Georgia",194949.0,33.3,41339.0,22856.0,35819.0,18.373523331743172
235,"Pulaski County, Georgia",11775.0,42.1,41550.0,17781.0,1608.0,13.656050955414013
241,"Rabun County, Georgia",16271.0,46.4,35423.0,22260.0,3468.0,21.31399422285047
259,"Stewart County, Georgia",6007.0,38.3,23451.0,13238.0,1558.0,25.936407524554685
281,"Towns County, Georgia",10551.0,51.7,36570.0,20419.0,1593.0,15.098094967301678
283,"Treutlen County, Georgia",6817.0,38.7,37894.0,19410.0,1642.0,24.086841719231334
287,"Turner County, Georgia",8637.0,40.2,28326.0,17609.0,1833.0,21.222646752344563
003,"Atkinson County, Georgia",8332.0,34.7,30049.0,15958.0,2671.0,32.057129140662504
001,"Appling County, Georgia",18354.0,38.4,36786.0,19643.0,4101.0,22.34390323635175
025,"Brantley County, Georgia",18409.0,38.5,36070.0,16938.0,4010.0,21.78282361888207
017,"Ben Hill County, Georgia",17576.0,37.7,28547.0,14204.0,6556.0,37.30086481565772
047,"Catoosa County, Georgia",64606.0,38.8,47087.0,21690.0,8926.0,13.816054236448627
055,"Chattooga County, Georgia",25670.0,39.9,33228.0,16045.0,5706.0,22.228282041293337
073,"Columbia County, Georgia",128213.0,36.7,69306.0,30949.0,10571.0,8.244873764750844
115,"Floyd County, Georgia",96147.0,38.0,40821.0,20500.0,19343.0,20.118152412451767
117,"Forsyth County, Georgia",182916.0,37.3,86569.0,34582.0,13836.0,7.564127796365545
147,"Hart County, Georgia",25348.0,42.9,35615.0,20371.0,6255.0,24.67650307716585
185,"Lowndes County, Georgia",111334.0,29.5,37365.0,18897.0,25952.0,23.31004005964036
199,"Meriwether County, Georgia",21695.0,42.1,37333.0,18821.0,4449.0,20.507029269416915
237,"Putnam County, Georgia",21241.0,44.6,44764.0,26321.0,2934.0,13.812908996751565
261,"Sumter County, Georgia",32099.0,34.3,33796.0,17879.0,9693.0,30.197202405059347
301,"Warren County, Georgia",5706.0,43.4,27796.0,17884.0,1774.0,31.090080616894497
007,"Baker County, Georgia",3410.0,42.0,27353.0,17019.0,1073.0,31.466275659824046
035,"Butts County, Georgia",23563.0,38.3,49754.0,20363.0,3051.0,12.948266349785682
043,"Candler County, Georgia",11045.0,37.3,35070.0,17974.0,2762.0,25.006790402897238
045,"Carroll County, Georgia",111160.0,33.7,46147.0,21227.0,20274.0,18.238575026988126
099,"Early County, Georgia",10787.0,39.4,28853.0,17579.0,3324.0,30.814869750625753
081,"Crisp County, Georgia",23521.0,37.8,35240.0,18185.0,7168.0,30.47489477488202
