,Cases,Deaths,Population,Median Age,Household Income,Heart Disease,Stroke,County,State,Cases per Capita,Deaths per Capita
2673,5322,64.0,23884.0,40.2,47894.0,320.3,78.0,Sumner,Kansas,0.22282699715290571,0.002679618154412996
2674,47376,621.0,163724.0,39.1,55509.0,346.7,82.6,Sumner,Tennessee,0.28936502895116173,0.0037929686545649997
2676,19492,486.0,98409.0,63.8,48493.0,254.6,52.6,Sumter,Florida,0.19807131461553312,0.004938572691522117
2677,6376,145.0,32099.0,34.3,33796.0,420.5,105.1,Sumter,Georgia,0.1986354715100159,0.004517274681454251
2678,25462,329.0,107645.0,35.4,41366.0,300.2,99.1,Sumter,South Carolina,0.23653676436434576,0.0030563426076455013
2679,5491,111.0,28722.0,33.7,26619.0,482.4,124.3,Sunflower,Mississippi,0.19117749460343988,0.003864633382076457
2680,18979,286.0,73486.0,41.6,35641.0,317.7,80.0,Surry,North Carolina,0.25826688076640447,0.0038918977764472143
2682,7253,99.0,42948.0,45.5,48231.0,345.9,56.9,Susquehanna,Pennsylvania,0.16887864394151067,0.0023051131601005866
2684,32395,430.0,147924.0,42.3,87335.0,337.9,54.0,Sussex,New Jersey,0.2189975933587518,0.0029068981368811013
2686,20253,210.0,94787.0,34.8,50408.0,296.3,88.6,Sutter,California,0.21366854104465802,0.0022154936858429955
2688,11911,273.0,42865.0,41.8,35698.0,372.1,83.4,Suwannee,Florida,0.277872390061822,0.0063688323807302
2691,10133,115.0,44437.0,33.2,71525.0,311.6,57.7,Sweetwater,Wyoming,0.2280306951414362,0.002587933478857709
2696,5144,72.0,37859.0,48.0,61597.0,279.8,58.1,Talbot,Maryland,0.13587257983570616,0.0019017934969227926
2698,19534,316.0,81845.0,40.0,35439.0,513.5,107.7,Talladega,Alabama,0.23867065795100495,0.0038609566864194513
2700,10289,209.0,41428.0,42.0,39130.0,472.3,95.2,Tallapoosa,Alabama,0.24835859804962826,0.005044897170995462
2702,12476,187.0,52412.0,41.2,38461.0,555.2,70.4,Taney,Missouri,0.23803709074257803,0.0035678852171258492
2703,32594,552.0,122665.0,33.7,40654.0,465.4,82.7,Tangipahoa,Louisiana,0.26571556678759223,0.004500061142135084
2704,4664,78.0,32899.0,45.8,32637.0,215.3,41.2,Taos,New Mexico,0.14176722696738503,0.0023708927323018935
2706,6469,127.0,28625.0,36.4,41494.0,480.4,77.7,Tate,Mississippi,0.22599126637554584,0.004436681222707423
2707,4623,121.0,25343.0,36.1,37587.0,440.3,84.4,Tattnall,Georgia,0.18241723552854833,0.004774493943100659
2708,6361,87.0,22660.0,41.4,36356.0,346.0,82.1,Taylor,Florida,0.2807149161518094,0.0038393645189761694
2711,7586,105.0,24585.0,40.5,36384.0,419.6,93.1,Taylor,Kentucky,0.3085621313809233,0.004270896888346553
2712,31050,642.0,132588.0,32.3,44891.0,409.8,87.5,Taylor,Texas,0.23418408905783328,0.0048420671553986785
2714,4633,64.0,20633.0,42.3,44869.0,319.5,60.0,Taylor,Wisconsin,0.22454320748315804,0.003101827170067368
2715,34736,466.0,135747.0,40.1,56067.0,323.6,62.6,Tazewell,Illinois,0.2558877912587387,0.0034328567113822038
2716,8511,128.0,44664.0,43.5,35693.0,423.3,68.9,Tazewell,Virginia,0.19055615260612574,0.0028658427368798136
2717,13227,145.0,63241.0,39.9,41924.0,364.3,67.2,Tehama,California,0.20915229044449013,0.002292816369127623
2719,4442,55.0,23276.0,48.0,59040.0,252.1,56.8,Teller,Colorado,0.19084035057570028,0.0023629489603024575
2721,28909,377.0,111868.0,35.2,49960.0,400.0,81.4,Terrebonne,Louisiana,0.2584206386097901,0.0033700432652769333
2727,9272,15.0,21575.0,37.0,68078.0,170.5,48.2,Teton,Wyoming,0.4297566628041715,0.0006952491309385864
2728,4280,79.0,25830.0,42.2,36082.0,400.2,84.4,Texas,Missouri,0.1656987998451413,0.0030584591560201316
2729,5508,46.0,21157.0,31.3,49901.0,506.6,64.7,Texas,Oklahoma,0.2603393675851964,0.0021742212979155833
2731,11047,189.0,44692.0,39.1,34035.0,360.0,90.6,Thomas,Georgia,0.24718070348160745,0.00422894477758883
2736,10993,195.0,40537.0,34.4,34591.0,482.2,101.3,Tift,Georgia,0.2711843500999087,0.004810420110022942
2737,3119,54.0,25300.0,48.2,43676.0,249.5,70.7,Tillamook,Oregon,0.1232806324110672,0.0021343873517786563
2739,9865,79.0,50789.0,43.0,55726.0,304.8,47.2,Tioga,New York,0.19423497213963653,0.0015554549213412352
2740,7444,184.0,42267.0,42.4,44187.0,328.1,68.3,Tioga,Pennsylvania,0.17611848486999315,0.00435327797099392
2741,6326,91.0,22080.0,37.9,34636.0,486.6,103.9,Tippah,Mississippi,0.2865036231884058,0.004121376811594203
2742,47140,352.0,175628.0,28.0,44246.0,301.7,74.4,Tippecanoe,Indiana,0.2684082264786936,0.0020042362265697954
2744,15921,191.0,61298.0,37.1,52423.0,434.0,95.0,Tipton,Tennessee,0.2597311494665405,0.003115925478808444
2746,7796,113.0,32360.0,33.2,42939.0,412.1,85.8,Titus,Texas,0.24091470951792338,0.003491965389369592
2748,6043,54.0,24697.0,42.2,45000.0,215.7,55.2,Todd,Minnesota,0.24468558934283516,0.0021865003846621048
2750,19125,245.0,152366.0,38.0,80529.0,296.8,50.5,Tolland,Connecticut,0.12552012916267408,0.0016079702820839296
2751,39453,410.0,111969.0,34.0,44545.0,331.0,79.0,Tom Green,Texas,0.3523564558047317,0.003661727799658834
2752,16081,76.0,102270.0,29.9,51393.0,255.7,59.1,Tompkins,New York,0.15724063752811185,0.000743130927935856
2753,19848,88.0,59120.0,30.0,61412.0,324.5,71.3,Tooele,Utah,0.33572395128552096,0.0014884979702300405
2755,6538,178.0,27229.0,35.9,31189.0,438.3,91.7,Toombs,Georgia,0.24011164567189394,0.00653714789378971
2760,5606,57.0,32894.0,49.7,41781.0,250.0,76.3,Transylvania,North Carolina,0.17042621754727305,0.0017328388155894692
2765,7974,58.0,29098.0,40.9,49143.0,328.8,71.0,Trempealeau,Wisconsin,0.2740394528833597,0.0019932641418654203
2772,14897,344.0,67776.0,36.1,41161.0,486.6,94.8,Troup,Georgia,0.21979756846081208,0.005075542965061379
2779,11537,161.0,54728.0,48.0,48426.0,300.8,65.8,Tuolumne,California,0.21080616868878818,0.0029418213711445694
2782,49533,674.0,196824.0,31.4,45408.0,434.9,98.7,Tuscaloosa,Alabama,0.2516613827582002,0.0034243791407551926
2783,19920,441.0,92528.0,40.8,43739.0,363.8,79.1,Tuscarawas,Ohio,0.21528618364170846,0.004766124848694449
2784,12424,257.0,55172.0,42.3,43039.0,399.2,68.3,Tuscola,Michigan,0.22518668890016674,0.004658159936199522
2786,18645,260.0,78067.0,34.6,43886.0,321.1,69.6,Twin Falls,Idaho,0.23883330984923207,0.0033304725428157864
2787,3214,75.0,21619.0,42.7,39940.0,476.4,77.4,Tyler,Texas,0.14866552569499053,0.003469170636939729
2790,5273,34.0,21040.0,34.4,58515.0,353.4,52.8,Uinta,Wyoming,0.25061787072243347,0.0016159695817490494
2791,7411,57.0,33722.0,29.7,62067.0,353.6,57.0,Uintah,Utah,0.21976751082379456,0.00169029120455489
2792,29413,340.0,182086.0,42.5,58590.0,315.4,48.4,Ulster,New York,0.1615335610645519,0.0018672495414254803
